,DATE,COMPANYNAME,AMOUNT,ROUND,INVESTORS,COUNTRY,COUNTRY(HQ),CATEGORY,SECTOR
1,2008-11-01,biNu,400000,Angel,Undisclosed,Australia,Australia,Mobile Internet,Information Technology
2,2009-12-03,AllLife,6000000,Private Equity,LeapFrog Investments,South Africa,South Africa,"Insurance, InsurTech",Financial Services
5,2010-08-20,Kopo Kopo,75000,Seed,First Light Ventures,Kenya,Kenya,"Enterprise Software, Financial Services, Information Technology, Mobile Payments, Payments, Social Entrepreneurship, Telecommunications",Financial Services
6,2010-09-30,Paga,700000,Seed,Tim Draper,Nigeria,Nigeria,"Money Transfer, Airtime, Bill Payments, and SME Business",Financial Services
7,2010-12-01,Wuzzuf,150000,Grant,Undisclosed,Egypt,Egypt,"Information Services, Information Technology, Software, Web Development",Recruitment
8,2011-05-01,African Leadership Academy,1500000,Grant,Omidyar Network,South Africa,South Africa,"E-Learning, Education, Tutoring",Education
9,2011-10-01,M-KOPA,0,Series A,Undisclosed,Kenya,Kenya,"Energy, Financial Services, Mobile",Energy & Environment Resources
10,2011-10-01,Cellulant,1500000,Series A,TBL Mirror Fund,Kenya,Kenya,"Mobile Payments, Digital Payments, eCommerce, FinTech, mobile commerce, Fintech Africa, BlockChain, and MobileMoney",Financial Services
11,2011-11-17,Kopo Kopo,865000,Seed,Undisclosed,Kenya,Kenya,"Enterprise Software, Financial Services, Information Technology, Mobile Payments, Payments, Social Entrepreneurship, Telecommunications",Financial Services
12,2011-11-17,Kopo Kopo,864900,Seed,Undisclosed,Kenya,Kenya,"Enterprise Software, Financial Services, Information Technology, Mobile Payments, Payments, Social Entrepreneurship, Telecommunications",Financial Services
13,2011-12-01,iROKOtv,3000000,Series A,Tiger Global Management,Nigeria,Nigeria,"Online Media, Nollywood Movies, Online Movie and Music Streaming, African Music, Content Distribution, Technology, Subscription Video on Demand",Media & Entertainment
14,2012-01-01,Jumia Group,45000000,Series A,"Blakeney Management, Rocket Internet, Millicom Systems",Nigeria,Nigeria,"E-Commerce, Internet, Shopping Online",E-Commerce & Retail
15,2012-01-01,Konga,3500000,Seed,Kinnevik AB,Nigeria,Nigeria,"Retail, E-Commerce, Customer Service, Delivery Service, Online Shopping",E-Commerce & Retail
17,2012-02-01,elmenus,0,Angel,Undisclosed,Egypt,Egypt,"Ediscovery, Hospitality, Mobile, Restaurants, Food and Beverages",E-Commerce & Retail
18,2012-02-29,Zoona,4000000,Series A,"Accion, Omidyar Network",Zambia,Zambia,"Mobile Money Transfer, Fintech",Financial Services
